,Total Population,Population in Households,Population in Familes,Population in Group Qrtrs,Population Density2,Diversity Index3,Median Household Income,Average Household Income,Per Capita Income,Total Housing Units,Owner Occupied HU,Renter Occupied HU,Vacant Housing Units,Median Home Value,Average Home Value,Total Households,Average Household Size,Family Households,Average Family Size
98407,22130,21961,16586,169,3937,39,"$79,035","$104,533","$45,565","10,286 (100%)","6,211 (60.4%)","3,380 (32.9%)",695 ( 6.8%),"$365,392","$456,444",9591,2.29,5747,3
98408,20390,20136,15497,254,5954,74,"$52,763","$64,647","$24,565","8,245 (100%)","4,857 (58.9%)","2,756 (33.4%)",632 ( 7.7%),"$198,713","$219,266",7613,2.64,4805,3
98409,27774,27499,20307,275,3793,79,"$47,452","$56,266","$22,309","11,913 (100%)","3,856 (32.4%)","6,989 (58.7%)","1,068 ( 9.0%)","$203,423","$244,813",10845,2.54,6403,3
98418,10393,10241,7555,152,6222,74,"$52,322","$63,379","$24,542","4,321 (100%)","2,248 (52.0%)","1,694 (39.2%)",379 ( 8.8%),"$204,203","$227,057",3942,2.6,2349,3
98424,11789,11709,8998,80,1870,77,"$69,697","$82,653","$31,598","4,674 (100%)","1,981 (42.4%)","2,493 (53.3%)",200 ( 4.3%),"$299,242","$335,172",4474,2.62,2766,3
98444,35031,34063,25712,968,4969,81,"$45,518","$58,653","$22,283","13,869 (100%)","5,142 (37.1%)","7,736 (55.8%)",991 ( 7.1%),"$206,511","$257,108",12878,2.65,7946,3
98445,34758,34652,28464,106,3289,71,"$63,016","$74,698","$26,624","12,984 (100%)","8,130 (62.6%)","4,210 (32.4%)",644 ( 5.0%),"$237,153","$280,387",12340,2.81,8682,3
98466,27825,27685,21846,140,4617,56,"$65,309","$92,216","$38,464","12,411 (100%)","6,301 (50.8%)","5,253 (42.3%)",857 ( 6.9%),"$336,725","$392,553",11554,2.4,7309,3
98499,31413,31188,23055,225,3348,82,"$45,239","$63,382","$26,498","14,235 (100%)","4,744 (33.3%)","8,267 (58.1%)","1,224 ( 8.6%)","$248,993","$345,515",13011,2.4,7402,3
98501,43286,43013,32883,273,1210,40,"$77,039","$99,771","$41,781","19,087 (100%)","11,004 (57.7%)","7,048 (36.9%)","1,035 ( 5.4%)","$335,513","$380,616",18052,2.38,11051,3
98502,34484,33425,23799,1059,580,43,"$68,779","$97,054","$41,297","15,793 (100%)","7,844 (49.7%)","6,455 (40.9%)","1,494 ( 9.5%)","$380,665","$458,411",14299,2.34,8213,3
98503,39981,38935,30138,1046,3209,60,"$65,736","$79,285","$32,405","17,086 (100%)","8,269 (48.4%)","7,653 (44.8%)","1,164 ( 6.8%)","$256,669","$272,690",15922,2.45,9982,3
98506,18929,18542,13405,387,840,39,"$70,308","$94,213","$41,535","8,709 (100%)","4,737 (54.4%)","3,472 (39.9%)",500 ( 5.7%),"$341,294","$400,232",8209,2.26,4687,3
98512,30747,29837,23315,910,210,37,"$74,288","$94,433","$37,997","12,837 (100%)","8,257 (64.3%)","3,841 (29.9%)",739 ( 5.8%),"$336,535","$372,245",12098,2.47,7860,3
98516,24187,24144,20437,43,837,56,"$90,123","$114,665","$44,378","9,813 (100%)","6,987 (71.2%)","2,361 (24.1%)",465 ( 4.7%),"$335,367","$393,581",9348,2.58,6854,3
98520,24050,21787,16781,2263,90,54,"$46,519","$58,867","$22,236","9,779 (100%)","5,421 (55.4%)","3,080 (31.5%)","1,278 (13.1%)","$149,050","$176,217",8501,2.56,5417,3
98524,3651,3648,3016,3,279,26,"$61,218","$72,390","$31,219","1,979 (100%)","1,333 (67.4%)",241 (12.2%),405 (20.5%),"$290,025","$333,590",1574,2.32,1133,3
98528,10487,10154,8159,333,159,37,"$57,829","$70,931","$27,441","5,083 (100%)","3,000 (59.0%)",973 (19.1%),"1,110 (21.8%)","$257,364","$288,317",3973,2.56,2722,3
98531,24794,24488,18856,306,199,52,"$42,001","$57,764","$23,016","10,651 (100%)","5,502 (51.7%)","4,279 (40.2%)",870 ( 8.2%),"$183,842","$215,263",9781,2.5,6098,3
98532,25326,24758,20378,568,75,34,"$54,155","$68,703","$26,194","10,227 (100%)","6,423 (62.8%)","3,085 (30.2%)",719 ( 7.0%),"$231,269","$262,650",9508,2.6,6641,3
98541,10682,10623,8514,59,45,39,"$50,271","$61,833","$23,415","4,698 (100%)","2,904 (61.8%)","1,124 (23.9%)",670 (14.3%),"$183,519","$216,899",4028,2.64,2762,3
98547,1470,1470,1011,0,75,31,"$47,329","$61,836","$31,843","1,643 (100%)",552 (33.6%),205 (12.5%),886 (53.9%),"$172,917","$199,094",757,1.94,395,3
98550,11384,11290,8618,94,51,43,"$40,051","$56,710","$22,570","5,312 (100%)","2,874 (54.1%)","1,627 (30.6%)",811 (15.3%),"$131,543","$171,555",4501,2.51,2831,3
98564,2538,2538,2094,0,14,43,"$43,682","$56,466","$22,649","1,281 (100%)",765 (59.7%),253 (19.8%),263 (20.5%),"$219,952","$271,176",1018,2.49,714,3
98568,2378,2378,1951,0,21,47,"$51,287","$64,061","$23,922","1,018 (100%)",676 (66.4%),212 (20.8%),130 (12.8%),"$196,018","$254,734",888,2.68,632,3
98569,5918,5914,4380,4,234,27,"$53,421","$65,579","$31,583","5,119 (100%)","2,155 (42.1%)",694 (13.6%),"2,270 (44.3%)","$187,754","$226,891",2849,2.08,1731,3
98579,14015,13748,11515,267,142,43,"$64,127","$78,280","$29,033","5,363 (100%)","3,891 (72.6%)","1,190 (22.2%)",282 ( 5.3%),"$268,427","$337,587",5081,2.71,3758,3
98584,37489,35175,27715,2314,124,49,"$50,114","$63,236","$24,576","16,806 (100%)","9,643 (57.4%)","4,272 (25.4%)","2,891 (17.2%)","$217,077","$254,731",13915,2.53,9292,3
98586,1750,1687,1325,63,12,57,"$34,858","$58,248","$23,925",927 (100%),481 (51.9%),213 (23.0%),233 (25.1%),"$191,667","$231,289",694,2.43,437,3
98589,8864,8861,7263,3,82,29,"$69,703","$87,614","$33,687","3,644 (100%)","2,668 (73.2%)",739 (20.3%),237 ( 6.5%),"$288,213","$333,274",3407,2.6,2415,3
98591,4027,4027,3378,0,40,28,"$51,609","$60,391","$23,215","1,745 (100%)","1,121 (64.2%)",427 (24.5%),197 (11.3%),"$202,388","$225,758",1548,2.6,1151,3
98597,25036,24955,20901,81,194,45,"$63,496","$75,974","$27,262","9,858 (100%)","6,481 (65.7%)","2,466 (25.0%)",911 ( 9.2%),"$262,954","$308,340",8947,2.79,6472,3
98604,39336,38867,34727,469,558,28,"$75,410","$97,431","$31,719","13,251 (100%)","10,150 (76.6%)","2,491 (18.8%)",610 ( 4.6%),"$345,243","$399,734",12641,3.07,10118,3
98605,1263,1258,1023,5,33,56,"$57,321","$71,088","$28,050",558 (100%),320 (57.3%),177 (31.7%),61 (10.9%),"$261,905","$332,656",497,2.53,340,3
98607,31667,31572,28186,95,661,36,"$100,616","$133,538","$45,102","11,236 (100%)","8,689 (77.3%)","1,982 (17.6%)",565 ( 5.0%),"$418,966","$475,466",10671,2.96,8491,3
98610,2854,2854,2275,0,44,32,"$51,510","$61,692","$24,966","1,323 (100%)",768 (58.0%),387 (29.3%),168 (12.7%),"$224,345","$294,759",1155,2.47,758,3
98611,9678,9647,8102,31,86,22,"$61,313","$74,466","$28,842","3,921 (100%)","3,250 (82.9%)",484 (12.3%),187 ( 4.8%),"$233,786","$309,038",3734,2.58,2741,3
98612,2955,2907,2358,48,21,24,"$49,357","$63,583","$28,256","1,529 (100%)","1,104 (72.2%)",192 (12.6%),233 (15.2%),"$237,568","$260,145",1296,2.24,877,3
98620,7422,7363,5899,59,14,33,"$41,938","$53,375","$22,817","3,692 (100%)","2,087 (56.5%)","1,061 (28.7%)",544 (14.7%),"$170,154","$205,918",3148,2.34,2081,3
98621,304,304,247,0,12,21,"$39,879","$50,044","$20,577",144 (100%),110 (76.4%),15 (10.4%),19 (13.2%),"$208,333","$199,545",125,2.43,86,3
98624,1264,1251,901,13,60,30,"$43,932","$57,022","$26,890",771 (100%),402 (52.1%),189 (24.5%),180 (23.3%),"$232,500","$267,351",591,2.12,328,3
98625,6909,6909,5933,0,34,23,"$60,649","$80,160","$30,932","2,906 (100%)","2,272 (78.2%)",394 (13.6%),240 ( 8.3%),"$289,744","$363,721",2666,2.59,2002,3
98626,25554,25494,20682,60,193,38,"$50,570","$66,121","$25,125","10,435 (100%)","6,910 (66.2%)","2,769 (26.5%)",756 ( 7.2%),"$216,667","$268,614",9679,2.63,6701,3
98629,9242,9242,8248,0,240,24,"$79,759","$101,638","$34,565","3,324 (100%)","2,727 (82.0%)",416 (12.5%),181 ( 5.4%),"$360,616","$416,566",3143,2.94,2530,3
98632,50849,49773,38581,1076,534,41,"$50,057","$66,746","$27,307","21,837 (100%)","13,264 (60.7%)","7,186 (32.9%)","1,387 ( 6.4%)","$214,198","$268,837",20450,2.43,12816,3
98635,2412,2395,1871,17,16,24,"$52,355","$66,348","$28,934","1,256 (100%)",763 (60.7%),283 (22.5%),210 (16.7%),"$215,779","$253,080",1046,2.29,674,3
98642,19431,19413,17059,18,327,28,"$96,389","$124,336","$44,190","7,129 (100%)","5,752 (80.7%)","1,149 (16.1%)",228 ( 3.2%),"$435,829","$493,620",6901,2.81,5406,3
98644,547,540,388,7,311,30,"$45,649","$59,279","$29,542",595 (100%),183 (30.8%),87 (14.6%),325 (54.6%),"$222,794","$247,678",270,2.0,150,3
98648,3524,3499,2783,25,3,26,"$55,687","$71,389","$30,326","2,169 (100%)",878 (40.5%),607 (28.0%),684 (31.5%),"$308,556","$381,008",1485,2.36,949,3
98660,13327,12327,8111,1000,894,49,"$45,590","$59,618","$27,156","6,208 (100%)","2,497 (40.2%)","3,256 (52.4%)",455 ( 7.3%),"$245,842","$281,668",5753,2.14,2758,3
98661,45467,45320,33244,147,4362,58,"$49,791","$66,624","$27,401","19,820 (100%)","8,044 (40.6%)","10,580 (53.4%)","1,196 ( 6.0%)","$234,521","$306,210",18624,2.43,10744,3
98663,15819,15559,11309,260,3629,48,"$54,734","$69,773","$29,342","6,927 (100%)","3,841 (55.4%)","2,684 (38.7%)",402 ( 5.8%),"$239,310","$276,744",6525,2.38,3826,3
98665,27616,27591,21695,25,3542,51,"$57,479","$78,132","$30,625","11,298 (100%)","6,894 (61.0%)","3,920 (34.7%)",484 ( 4.3%),"$243,207","$278,550",10814,2.55,6958,3
98671,24194,24179,20497,15,139,28,"$80,078","$104,125","$38,406","9,544 (100%)","6,899 (72.3%)","2,020 (21.2%)",625 ( 6.5%),"$362,682","$424,217",8919,2.71,6627,3
98682,59807,59565,51040,242,1169,50,"$65,816","$80,333","$27,090","20,904 (100%)","14,597 (69.8%)","5,468 (26.2%)",839 ( 4.0%),"$228,365","$270,766",20065,2.97,15067,3
98683,35450,35143,27747,307,4712,52,"$67,033","$87,818","$36,395","15,262 (100%)","8,384 (54.9%)","6,188 (40.5%)",690 ( 4.5%),"$295,204","$362,348",14572,2.41,9168,3
98684,30890,30822,25773,68,4366,50,"$69,727","$87,442","$31,763","11,717 (100%)","6,656 (56.8%)","4,538 (38.7%)",523 ( 4.5%),"$251,142","$285,483",11194,2.75,8007,3
98801,44245,43525,35045,720,283,67,"$55,073","$79,490","$30,535","17,993 (100%)","9,888 (55.0%)","6,798 (37.8%)","1,307 ( 7.3%)","$283,333","$328,861",16686,2.61,10900,3
98802,31189,31056,26391,133,239,64,"$61,737","$79,197","$28,868","12,030 (100%)","8,014 (66.6%)","3,297 (27.4%)",719 ( 6.0%),"$270,797","$316,989",11311,2.75,8297,3
98812,5244,5151,4511,93,19,81,"$41,369","$59,093","$19,317","2,083 (100%)",937 (45.0%),738 (35.4%),408 (19.6%),"$196,531","$232,631",1675,3.08,1258,4
98813,2932,2929,2538,3,19,80,"$37,306","$47,528","$13,404",933 (100%),458 (49.1%),367 (39.3%),108 (11.6%),"$122,656","$150,273",825,3.55,629,4
98814,394,392,310,2,2,27,"$50,684","$62,182","$29,949",310 (100%),150 (48.4%),39 (12.6%),121 (39.0%),"$280,303","$322,167",189,2.07,123,3
98815,8480,8370,7072,110,53,68,"$58,375","$75,617","$27,751","3,365 (100%)","1,985 (59.0%)","1,077 (32.0%)",303 ( 9.0%),"$343,505","$386,688",3062,2.73,2163,3
98821,89,88,74,1,6449,69,"$55,556","$75,450","$23,177",29 (100%),18 (62.1%),9 (31.0%),2 ( 6.9%),"$375,000","$391,667",27,3.26,19,4
98823,11466,11148,9378,318,52,56,"$50,265","$60,578","$22,290","4,508 (100%)","2,794 (62.0%)","1,331 (29.5%)",383 ( 8.5%),"$152,648","$191,151",4125,2.7,2893,3
98834,169,166,136,3,4,52,"$43,127","$65,128","$32,036",137 (100%),62 (45.3%),20 (14.6%),55 (40.1%),"$283,333","$347,581",82,2.02,56,2
98837,42147,41465,34480,682,93,67,"$54,412","$71,369","$25,511","16,463 (100%)","9,224 (56.0%)","5,670 (34.4%)","1,569 ( 9.5%)","$174,924","$215,877",14894,2.78,10455,3
98840,5453,5237,4159,216,14,62,"$49,065","$58,723","$23,583","2,496 (100%)","1,315 (52.7%)",791 (31.7%),390 (15.6%),"$170,556","$205,095",2106,2.49,1397,3
98841,9334,9277,7395,57,72,66,"$49,259","$60,182","$23,964","4,021 (100%)","2,398 (59.6%)","1,297 (32.3%)",326 ( 8.1%),"$164,912","$200,532",3695,2.51,2442,3
98847,1744,1738,1421,6,11,65,"$57,436","$76,257","$29,554",827 (100%),456 (55.1%),217 (26.2%),154 (18.6%),"$267,568","$345,943",673,2.58,460,3
98848,12873,12862,11360,11,27,82,"$45,813","$59,570","$18,137","5,485 (100%)","2,324 (42.4%)","1,592 (29.0%)","1,569 (28.6%)","$155,514","$207,100",3916,3.28,3075,4
98850,1721,1721,1473,0,30,79,"$54,215","$78,789","$26,233",644 (100%),376 (58.4%),197 (30.6%),71 (11.0%),"$211,644","$361,636",573,3.0,417,4
98851,4073,4015,3066,58,36,45,"$38,376","$60,972","$26,303","2,132 (100%)","1,185 (55.6%)",555 (26.0%),392 (18.4%),"$131,025","$157,194",1740,2.31,1027,3
98855,6138,5996,4756,142,10,59,"$42,033","$53,495","$22,159","3,479 (100%)","1,760 (50.6%)",722 (20.8%),997 (28.7%),"$170,236","$185,952",2482,2.42,1607,3
98862,2325,2320,1782,5,2,16,"$59,156","$80,716","$39,000","2,242 (100%)",844 (37.6%),278 (12.4%),"1,120 (50.0%)","$341,803","$384,834",1122,2.07,694,3
98901,32603,31204,25804,1399,284,83,"$41,449","$59,985","$20,340","11,126 (100%)","5,990 (53.8%)","4,503 (40.5%)",633 ( 5.7%),"$152,131","$215,501",10493,2.97,7292,4
98902,47277,46275,36300,1002,4947,82,"$43,052","$58,479","$21,797","18,212 (100%)","9,029 (49.6%)","8,062 (44.3%)","1,121 ( 6.2%)","$149,763","$178,414",17091,2.71,10643,3
98903,14791,14674,12330,117,155,72,"$56,494","$78,072","$28,098","5,534 (100%)","4,047 (73.1%)","1,225 (22.1%)",262 ( 4.7%),"$181,972","$254,485",5272,2.78,3837,3
98908,37446,37324,31035,122,457,55,"$71,600","$94,327","$37,291","15,415 (100%)","10,940 (71.0%)","3,819 (24.8%)",656 ( 4.3%),"$256,237","$302,239",14759,2.53,10350,3
98922,6691,6690,5209,1,11,24,"$53,504","$74,880","$32,872","5,330 (100%)","2,182 (40.9%)",755 (14.2%),"2,393 (44.9%)","$281,863","$385,988",2937,2.28,1865,3
98926,33180,30691,20028,2489,29,40,"$45,871","$60,723","$24,254","14,019 (100%)","6,373 (45.5%)","6,517 (46.5%)","1,129 ( 8.1%)","$269,542","$324,729",12890,2.38,6630,3
98936,6509,6487,5689,22,17,75,"$61,547","$71,570","$22,886","2,145 (100%)","1,636 (76.3%)",435 (20.3%),74 ( 3.4%),"$210,323","$314,823",2071,3.13,1634,3
98941,917,917,665,0,283,16,"$61,796","$80,711","$38,727",736 (100%),311 (42.3%),129 (17.5%),296 (40.2%),"$283,491","$393,730",440,2.08,246,3
98944,22216,21948,19462,268,166,86,"$45,321","$60,327","$17,057","6,489 (100%)","3,656 (56.3%)","2,473 (38.1%)",360 ( 5.5%),"$146,346","$187,384",6129,3.58,4877,4
99001,7385,5223,4143,2162,1236,53,"$49,339","$58,444","$20,536","2,275 (100%)","1,106 (48.6%)",931 (40.9%),238 (10.5%),"$172,791","$193,354",2037,2.56,1352,3
99004,19693,17850,12382,1843,61,40,"$50,981","$65,737","$26,021","7,896 (100%)","4,019 (50.9%)","3,310 (41.9%)",567 ( 7.2%),"$226,222","$256,258",7329,2.44,4188,3
99026,9384,9326,8347,58,136,20,"$80,082","$88,358","$32,104","3,607 (100%)","3,031 (84.0%)",356 ( 9.9%),220 ( 6.1%),"$288,547","$367,255",3387,2.75,2747,3
99027,6254,6250,5307,4,396,22,"$64,261","$75,300","$28,856","2,509 (100%)","2,129 (84.9%)",266 (10.6%),114 ( 4.5%),"$194,359","$263,363",2395,2.61,1768,3
99032,792,792,646,0,3,19,"$45,896","$61,165","$26,412",407 (100%),252 (61.9%),90 (22.1%),65 (16.0%),"$163,978","$176,091",342,2.32,227,3
99037,15102,14972,12681,130,2273,28,"$66,399","$91,377","$34,856","5,909 (100%)","3,666 (62.0%)","2,046 (34.6%)",197 ( 3.3%),"$293,676","$350,218",5712,2.62,4142,3
99109,5429,5373,4367,56,17,18,"$39,247","$52,689","$22,559","2,613 (100%)","1,548 (59.2%)",740 (28.3%),325 (12.4%),"$253,378","$310,675",2288,2.35,1536,3
99110,1747,1747,1485,0,55,20,"$45,630","$62,319","$20,725",637 (100%),446 (70.0%),135 (21.2%),56 ( 8.8%),"$226,613","$261,715",581,3.01,426,3
99114,11727,11545,9317,182,17,21,"$47,976","$67,075","$28,710","6,005 (100%)","3,330 (55.5%)","1,597 (26.6%)","1,078 (18.0%)","$211,794","$264,212",4927,2.34,3243,3
99122,3838,3811,3206,27,7,20,"$55,815","$68,678","$27,700","2,282 (100%)","1,217 (53.3%)",322 (14.1%),743 (32.6%),"$188,396","$220,214",1539,2.48,1075,3
99133,1648,1637,1216,11,10,46,"$38,970","$55,630","$26,395",979 (100%),467 (47.7%),311 (31.8%),201 (20.5%),"$131,701","$176,606",778,2.1,448,3
99139,1045,1045,828,0,4,16,"$51,315","$68,580","$29,335",620 (100%),339 (54.7%),108 (17.4%),173 (27.9%),"$223,056","$259,366",447,2.34,291,3
99141,5475,5471,4359,4,16,23,"$49,027","$60,286","$26,229","2,813 (100%)","1,738 (61.8%)",642 (22.8%),433 (15.4%),"$194,404","$280,970",2380,2.3,1569,3
99148,2302,2302,1898,0,23,22,"$58,271","$76,573","$33,031","1,862 (100%)",793 (42.6%),200 (10.7%),869 (46.7%),"$268,567","$373,455",993,2.32,689,3
99156,8617,8498,6758,119,18,23,"$46,026","$66,991","$28,367","5,124 (100%)","2,650 (51.7%)",938 (18.3%),"1,536 (30.0%)","$243,093","$348,613",3588,2.37,2356,3
99163,35424,29248,14507,6176,171,49,"$30,959","$56,528","$22,621","14,081 (100%)","3,772 (26.8%)","9,501 (67.5%)",808 ( 5.7%),"$238,209","$266,622",13273,2.2,4951,3
99169,2517,2453,1947,64,3,24,"$48,413","$62,933","$27,083","1,278 (100%)",798 (62.4%),267 (20.9%),213 (16.7%),"$128,788","$166,479",1065,2.3,680,3
99180,808,808,647,0,6,24,"$46,421","$77,099","$32,729",680 (100%),275 (40.4%),68 ( 10.0%),337 (49.6%),"$250,862","$520,273",343,2.36,232,3
99181,2348,2348,1946,0,22,25,"$47,990","$62,281","$24,536","1,213 (100%)",701 (57.8%),224 (18.5%),288 (23.7%),"$172,475","$268,937",925,2.54,644,3
99201,14955,13564,6636,1391,5088,45,"$24,595","$41,813","$22,687","8,643 (100%)","1,840 (21.3%)","5,651 (65.4%)","1,152 (13.3%)","$139,056","$213,492",7491,1.81,2290,3
99202,21506,17865,11889,3641,3551,46,"$37,311","$54,108","$22,109","8,142 (100%)","3,328 (40.9%)","3,993 (49.0%)",821 (10.1%),"$149,245","$200,526",7321,2.44,3736,3
99205,42890,42539,31658,351,4805,33,"$50,722","$60,157","$25,240","18,970 (100%)","12,241 (64.5%)","5,573 (29.4%)","1,156 ( 6.1%)","$153,993","$177,802",17814,2.39,10656,3
99206,38736,38288,30589,448,1593,28,"$56,559","$77,018","$30,397","15,989 (100%)","9,301 (58.2%)","5,788 (36.2%)",900 ( 5.6%),"$218,598","$261,128",15089,2.54,9963,3
99207,31836,31571,22330,265,6216,46,"$36,076","$46,231","$18,224","13,377 (100%)","6,338 (47.4%)","6,055 (45.3%)",984 ( 7.4%),"$128,120","$151,676",12393,2.55,7038,3
99208,54605,53828,44186,777,1151,32,"$65,980","$87,577","$34,404","22,360 (100%)","14,295 (63.9%)","6,902 (30.9%)","1,163 ( 5.2%)","$237,891","$296,829",21197,2.54,14472,3
99216,26936,26753,20110,183,2117,31,"$50,344","$61,791","$25,777","11,898 (100%)","5,647 (47.5%)","5,488 (46.1%)",763 ( 6.4%),"$191,515","$211,511",11135,2.4,6593,3
99217,19037,18982,14668,55,370,36,"$49,628","$70,663","$27,912","8,060 (100%)","4,611 (57.2%)","2,882 (35.8%)",567 ( 7.0%),"$208,588","$272,587",7493,2.53,4709,3
99218,15355,14514,11388,841,2235,30,"$58,128","$79,540","$32,910","6,359 (100%)","3,322 (52.2%)","2,704 (42.5%)",333 ( 5.2%),"$238,974","$292,497",6026,2.41,3906,3
99223,32367,32117,25360,250,1202,29,"$70,598","$102,661","$43,747","14,486 (100%)","8,790 (60.7%)","4,919 (34.0%)",777 ( 5.4%),"$283,520","$332,725",13709,2.34,8522,3
99224,22227,21614,16534,613,190,30,"$73,788","$105,433","$44,281","9,846 (100%)","5,976 (60.7%)","3,172 (32.2%)",698 ( 7.1%),"$320,228","$366,449",9148,2.36,5633,3
99301,78731,78383,68597,348,147,84,"$59,985","$77,648","$23,380","24,788 (100%)","16,871 (68.1%)","6,681 (27.0%)","1,236 ( 5.0%)","$184,246","$231,381",23552,3.33,18265,4
99328,3784,3709,2964,75,5,30,"$49,785","$73,491","$32,006","1,995 (100%)","1,164 (58.3%)",449 (22.5%),382 (19.1%),"$190,097","$265,679",1613,2.3,1048,3
99336,53308,52349,41024,959,3842,73,"$50,171","$70,111","$26,638","20,884 (100%)","9,914 (47.5%)","9,871 (47.3%)","1,099 ( 5.3%)","$163,464","$192,879",19785,2.65,12321,3
99337,32794,32666,28353,128,212,57,"$76,086","$90,208","$31,418","11,763 (100%)","9,351 (79.5%)","2,022 (17.2%)",390 ( 3.3%),"$193,560","$248,292",11373,2.87,8696,3
99344,17960,17862,16103,98,40,83,"$47,016","$60,470","$16,683","5,419 (100%)","3,252 (60.0%)","1,674 (30.9%)",493 ( 9.1%),"$144,079","$169,034",4926,3.63,4022,4
99350,13939,13918,12165,21,20,77,"$57,498","$74,565","$24,240","4,778 (100%)","3,172 (66.4%)","1,350 (28.3%)",256 ( 5.4%),"$224,386","$286,081",4522,3.08,3394,4
99352,33451,33363,27603,88,94,42,"$86,394","$117,777","$47,369","14,053 (100%)","9,034 (64.3%)","4,394 (31.3%)",625 ( 4.4%),"$263,752","$320,163",13428,2.48,9141,3
99353,15878,15878,14025,0,665,36,"$84,394","$101,754","$35,503","5,753 (100%)","4,871 (84.7%)",669 (11.6%),213 ( 3.7%),"$243,408","$269,062",5540,2.87,4321,3
99354,23093,22860,17999,233,1124,43,"$69,578","$95,180","$39,666","10,244 (100%)","5,831 (56.9%)","3,709 (36.2%)",704 ( 6.9%),"$202,124","$244,349",9540,2.4,5986,3
99362,43985,40269,31712,3716,156,56,"$53,788","$75,097","$28,125","17,417 (100%)","10,503 (60.3%)","5,528 (31.7%)","1,386 ( 8.0%)","$246,429","$300,357",16031,2.51,10186,3
99403,19652,19478,15081,174,131,21,"$50,923","$68,132","$29,644","9,008 (100%)","5,242 (58.2%)","3,221 (35.8%)",545 ( 6.1%),"$197,550","$238,912",8463,2.3,5308,3
